NBAName,NBAID
Duane Ferrell,273
Allan Houston,275
Stacey Augmon,278
Charles Jones,279
Felton Spencer,280
Scott Williams,281
Lindsey Hunter,283
Greg Grant,285
Eric Leckner,287
Armen Gilliam,288
Ledell Eackles,289
Ed Pinckney,291
Anthony Miller,292
Charles Smith,293
Rick Fox,296
Alonzo Mourning,297
Glenn Robinson,299
Mookie Blaylock,302
John Stockton,304
Robert Parish,305
Steve Colter,306
Derrick Alston,308
Bobby Hurley,310
Vern Fleming,313
Richard Manning,316
John Starks,317
Jamie Watson,320
Scott Haskin,321
Greg Foster,323
Anthony Peeler,324
Rick Mahorn,328
Danny Manning,330
Kevin Gamble,333
Willie Anderson,335
Tom Gugliotta,339
Kevin Pritchard,340
Joe Wolf,341
Andy Toolson,342
Dana Barros,344
Terry Porter,345
Doug Edwards,346
Mitchell Butler,348
Mark Jackson,349
Stacey King,351
Darrell Armstrong,353
Vincent Askew,355
Chris Morris,356
Greg Sutton,357
Anfernee Hardaway,358
Chucky Brown,359
Clifford Robinson,361
Christian Laettner,363
Rex Chapman,364
Derrick McKey,365
Dwayne Schintzius,368
Charlie Ward,369
Terry Mills,371
Isaiah Rider,375
Eric Montross,376
Craig Ehlo,378
Tony Smith,380
James Robinson,381
Kendall Gill,383
Calbert Cheaney,384
Elliot Perry,386
Toni Kukoc,389
Sasha Danilovic,390
Rod Strickland,393
Reggie Miller,397
Sean Rooks,399
Derek Strong,400
Jon Koncak,402
Kevin Duckworth,404
Shaquille O'Neal,406
Sharone Wright,412
Willie Burton,416
Sam Mitchell,417
Scott Brooks,418
Jayson Williams,420
Avery Johnson,422
Chris Gatling,423
Terry Davis,426
Sherman Douglas,428
Shawn Kemp,431
Pete Chilcutt,432
Buck Williams,433
Tony Dumas,434
Carlos Rogers,435
Juwan Howard,436
Robert Werdann,438
Zan Tabak,440
Lamond Murray,441
Pervis Ellison,442
Wesley Person,445
Lucious Harris,446
Bo Outlaw,448
Vin Baker,452
Chuck Person,456
Andrew Lang,457
Howard Eisley,458
Trevor Ruffin,460
Popeye Jones,461
J.R. Reid,462
Jason Kidd,467
Jon Barry,468
Jamal Mashburn,469
Doc Rivers,470
Stefano Rusconi,474
Doug Smith,475
Melvin Booker,511
Donnie Boyce,671
Matt Bullard,672
Alan Henderson,673
Reggie Jordan,674
Junior Burrough,675
Thomas Hamilton,676
Eric Williams,677
George Zidek,678
Jason Caffey,679
John Amaechi,680
Donny Marshall,681
Bob Sura,682
Darryl Johnson,683
Loren Meyer,684
Cherokee Parks,685
Antonio McDyess,686
Rastko Cvetkovic,687
Michael Curry,688
Theo Ratliff,689
Don Reid,690
Lou Roe,691
Andrew DeClercq,692
Joe Smith,693
Sam Mack,694
Eldridge Recasner,695
Travis Best,696
Fred Hoiberg,697
Eddie Johnson,698
Brent Barry,699
Keith Tower,700
Frankie King,701
Voshon Lenard,702
Kurt Thomas,703
Shawn Respert,704
Randolph Keys,705
Jerome Allen,706
Mark Davis,707
Kevin Garnett,708
Ed O'Bannon,709
David Vaughn,710
Jerry Stackhouse,711
Mario Bennett,712
Chris Carr,713
Michael Finley,714
John Coker,715
Rumeal Robinson,716
Arvydas Sabonis,717
Gary Trent,718
Randolph Childress,719
Terrence Rencher,720
Tyus Edney,721
Corliss Williamson,722
Clint McDaniel,723
Cory Alexander,724
Dell Demps,725
Sherell Ford,726
Eric Snow,727
Jimmy King,728
Martin Lewis,729
Dwayne Whitfield,730
Greg Ostertag,731
Ashraf Amaya,732
Cuonzo Martin,733
Lawrence Moten,734
Bryant Reeves,735
Cedric Lewis,736
Bob McCann,737
Bob Thornton,738
Rasheed Wallace,739
Randy Brown,753
Jim Jackson,754
Damon Stoudamire,757
Jerome Kersey,760
Matt Geiger,761
Shawn Bradley,762
Tony Massenburg,763
David Robinson,764
Hersey Hawkins,765
David Wingate,766
Terry Catledge,767
Acie Earl,768
B.J. Armstrong,769
Mark West,770
Elmore Spencer,771
Rex Walters,777
Glen Rice,779
Byron Houston,780
Will Perdue,781
Mitch Richmond,782
Frank Brickowski,783
Eric Murdock,785
Gerald Wilkins,786
Charles Barkley,787
Kevin Willis,788
Charles Oakley,891
Spud Webb,892
Michael Jordan,893
Ricky Pierce,894
Tyrone Corbin,895
Tim Hardaway,896
Tim Perry,897
Blue Edwards,898
Mark Price,899
Matt Fish,900
Otis Thorpe,901
Bimbo Coles,902
Geert Hammink,903
Chris Mullin,904
Dale Davis,905
Haywoode Workman,906
Malik Sealy,907
Ervin Johnson,911
Rafael Addison,912
Larry Johnson,913
Stanley Roberts,914
Rodney Rogers,915
Corie Blount,916
Jack Haley,917
Loy Vaught,919
A.C. Green,920
Brad Daugherty,921
Elden Campbell,922
Donyell Marshall,923
Anthony Goldwire,924
Sean Higgins,925
Alvin Robertson,926
John Salley,927
Robert Churchwell,928
Tracy Moore,929
Kenny Gattison,930
Don MacLean,931
Oliver Miller,932
Derrick Coleman,934
Bryon Russell,935
Scottie Pippen,937
Rony Seikaly,938
Pete Myers,939
Earl Cureton,940
Ennis Whatley,941
Todd Mundt,942
Ryan Lorthridge,943
Eric Anderson,944
Allen Iverson,947
Marcus Camby,948
Shareef Abdur-Rahim,949
Stephon Marbury,950
Ray Allen,951
Antoine Walker,952
Lorenzen Wright,953
Kerry Kittles,954
Samaki Walker,955
Erick Dampier,956
Todd Fuller,957
Vitaly Potapenko,958
Steve Nash,959
Tony Delk,960
John Wallace,961
Walter McCarty,962
Dontae' Jones,963
Roy Rogers,964
Derek Fisher,965
Jerome Williams,966
Brian Evans,967
Priest Lauderdale,968
Travis Knight,969
Othella Harrington,970
Mark Hendrickson,971
Jeff McInnis,976
Kobe Bryant,977
Peja Stojakovic,978
Jermaine O'Neal,979
Zydrunas Ilgauskas,980
Efthimios Rentzias,981
Martin Muursepp,982
Moochie Norris,983
Steve Hamer,984
Marcus Mann,986
Jason Sasser,987
Randy Livingston,988
Ben Davis,989
Malik Rose,990
Marcus Brown,992
Jamie Feick,994
Chris Robinson,997
Mark Pope,998
Jeff Nordgaard,999
Shandon Anderson,1000
Reggie Geary,1002
Drew Barry,1003
Walt Williams,1005
Herb Williams,1006
Luther Wright,1007
Johnny Dawkins,1008
Randy Woods,1010
Julius Nwosu,1022
Emanual Davis,1023
Horacio Llamas,1024
Evric Gray,1026
Trevor Wilson,1027
Duane Cooper,1030
Darvin Ham,1032
LeRon Ellis,1034
Shawnelle Scott,1035
Litterial Green,1036
Stojko Vrankovic,1037
Juaquin Hawkins,1038
Nate Driggers,1041
Amal McCaskill,1043
Shane Heal,1049
Dean Garrett,1051
Ben Handlogten,1052
Jerrod Mustaf,1054
Ed Stokes,1055
Aleksandar Djordjevic,1059
William Cunningham,1061
Carl Thomas,1063
Brent Scott,1064
Erick Strickland,1065
Jeff Webster,1067
Greg Dreiling,1068
Devin Gray,1070
Reggie Slater,1073
Matt Maloney,1074
Michael McDonald,1075
Ray Owes,1077
Henry James,1080
Ira Bowman,1085
Joe Stephens,1086
Chucky Atkins,1088
Kevin Salvadori,1089
Pat Durham,1090
Mike Smrek,1091
Gaylon Nickerson,1093
Ivano Newbill,1096
Zarko Paspalj,1097
Matt Steigenga,1099
Ian Lockhart,1100
Rich King,1101
Donald Hodge,1106
Tony Farmer,1108
James Scott,1109
Mark Strickland,1110
Ben Wallace,1112
Jaren Jackson,1114
Melvin Newbern,1116
John Shasky,1117
Tim Kempton,1118
Elmer Bennett,1120
Dexter Boney,1121
Dominique Wilkins,1122
Greg Kite,1123
Larry Stewart,1125
Donald Whiteside,1126
Charles Claxton,1127
Stephen Howard,1128
Ruben Nembhard,1129
Jimmy Carruth,1131
Larry Sykes,1132
Corey Beck,1133
Ike Austin,1134
Brett Szabo,1136
Chris Jent,1137
Michael Hawkins,1138
Mark Bradtke,1361
Xavier McDaniel,1365
Lloyd Daniels,1380
John Long,1381
Aaron Williams,1425
Jimmy Oliver,1429
Joe Courtney,1432
Dragan Tarlac,1434
Zeljko Rebraca,1442
Lawrence Funderburke,1444
Larry Bird,1449
Kevin McHale,1450
Walter Davis,1453
Randy Wittman,1456
James Worthy,1460
Tom Chambers,1472
Larry Krystkowiak,1474
Bruce Bowen,1477
Stevin Smith,1478
Mike Brown,1479
Lionel Simmons,1489
Tim Duncan,1495
Keith Van Horn,1496
Chauncey Billups,1497
Antonio Daniels,1498
Tony Battie,1499
Ron Mercer,1500
Tim Thomas,1501
Adonal Foyle,1502
Tracy McGrady,1503
Danny Fortson,1504
Tariq Abdul-Wahad,1505
Austin Croshere,1506
Derek Anderson,1507
Maurice Taylor,1508
Kelvin Cato,1509
Brevin Knight,1510
Johnny Taylor,1511
Chris Anstey,1512
Scot Pollard,1513
Paul Grant,1514
Anthony Parker,1515
Ed Gray,1516
Bobby Jackson,1517
Rodrick Rhodes,1518
John Thomas,1519
Charles Smith,1520
Jacque Vaughn,1521
Keith Booth,1522
Charles O'Bannon,1525
James Cotton,1526
Marko Milic,1527
Bubba Wells,1528
Kebu Stewart,1529
James Collins,1530
Marc Jackson,1531
Jerald Honeycutt,1532
Anthony Johnson,1533
Jason Lawson,1535
Stephen Jackson,1536
Cedric Henderson,1538
God Shammgod,1539
Eric Washington,1540
Alvin Williams,1541
Predrag Drobnjak,1542
Chris Crawford,1544
DeJuan Wheat,1545
Mark Blount,1548
Jamal Robinson,1554
Adrian Griffin,1559
Gerard King,1562
Kevin Ollie,1563
Etdrick Bohannon,1564
Michael Stewart,1565
Keith Closs,1569
Nate Huffman,1572
Derek Grimm,1575
Travis Williams,1576
Darnell Mee,1577
Shea Seals,1578
Brandon Williams,1585
Alvin Sims,1591
Charles Shackleford,1593
Rick Brunson,1594
Kornel David,1600
Rusty LaRue,1601
Walter Bond,1603
Troy Hudson,1607
Art Long,1609
Chris Garner,1612
Kiwane Garris,1619
Rodney McCray,1622
Alan Ogg,1628
Mikki Moore,1630
Billy Thompson,1631
Malcolm Mackey,1635
Gerald Madkins,1666
Steve Henson,1667
Harold Ellis,1677
Brian Oliver,1680
Reggie Hanson,1682
Larry Robinson,1683
Michael Olowokandi,1709
Mike Bibby,1710
Raef LaFrentz,1711
Antawn Jamison,1712
Vince Carter,1713
Robert Traylor,1714
Jason Williams,1715
Larry Hughes,1716
Dirk Nowitzki,1717
Paul Pierce,1718
Bonzi Wells,1719
Michael Doleac,1720
Keon Clark,1721
Michael Dickerson,1722
Matt Harpring,1723
Bryce Drew,1724
Rasho Nesterovic,1725
Mirsad Turkcan,1726
Pat Garrity,1727
Roshown McLeod,1728
Ricky Davis,1729
Brian Skinner,1730
Tyronn Lue,1731
Felipe Lopez,1732
Al Harrington,1733
Sam Jacobson,1734
Vladimir Stepania,1735
Corey Benjamin,1736
Nazr Mohammed,1737
Ansu Sesay,1738
Ruben Patterson,1739
Rashard Lewis,1740
Jelani McCoy,1741
Shammond Williams,1742
Bruno Sundov,1743
Jerome James,1744
Casey Shaw,1745
DeMarco Johnson,1746
Rafer Alston,1747
Korleone Young,1748
Cuttino Mobley,1749
Miles Simon,1750
Jahidi White,1751
Sean Marks,1752
Toby Bailey,1753
Andrae Patterson,1754
Tyson Wheeler,1755
Ryan Stack,1756
Cory Carr,1757
Derrick Dial,1760
Greg Buckner,1761
Tremaine Fowlkes,1762
Ryan Bowen,1763
J.R. Henderson,1764
Torraye Braggs,1765
Maceo Baston,1766
Damon Jones,1800
Jonathan Kerner,1801
Brad Miller,1802
James Blackwell,1806
Chris Smith,1814
Adonis Jordan,1817
John Turner,1819
Kelly McCarty,1820
Mark Randall,1821
Makhtar N'diaye,1823
Peter Aluma,1824
Ike Fontaine,1829
Marlon Garnett,1831
Tyrone Nesby,1838
Randy White,1839
Fred Vinson,1844
Andrew Gaze,1845
Chris Welp,1846
Thurl Bailey,1847
Mike Higgins,1848
Jeff Sheppard,1852
Anthony Carter,1853
Mark Macon,1855
Mark Baker,1858
Negele Knight,1861
Earl Boykins,1863
Steve Goodrich,1864
Trevor Winter,1868
Charles R. Jones,1869
Gerald Brown,1871
Randell Jackson,1872
Jeff Sanders,1874
Elton Brand,1882
Steve Francis,1883
Baron Davis,1884
Lamar Odom,1885
Jonathan Bender,1886
Wally Szczerbiak,1887
Richard Hamilton,1888
Andre Miller,1889
Shawn Marion,1890
Jason Terry,1891
Trajan Langdon,1892
Aleksandar Radojevic,1893
Corey Maggette,1894
William Avery,1895
Metta World Peace,1897
Cal Bowdler,1898
James Posey,1899
Quincy Lewis,1900
Dion Glover,1901
Jeff Foster,1902
Kenny Thomas,1903
Devean George,1904
Andrei Kirilenko,1905
Tim James,1906
Vonteego Cummings,1907
Jumaine Jones,1908
Scott Padgett,1909
Leon Smith,1910
John Celestand,1911
Michael Ruffin,1913
Chris Herren,1914
Evan Eschmeyer,1915
Calvin Booth,1916
Wang Zhi-zhi,1917
Obinna Ekezie,1918
Laron Profit,1919
A.J. Bramlett,1920
Gordan Giricek,1921
Francisco Elson,1922
Lee Nailon,1924
Ryan Robertson,1926
Todd MacCulloch,1928
Lari Ketner,1930
Rodney Buford,1934
Tim Young,1937
Manu Ginobili,1938
Harold Jamison,1942
Wayne Turner,1943
Eddie Robinson,1944
Andy Panko,1950
Raja Bell,1952
Lazaro Borrell,1953
Jason Miskiri,1954
Ira Newble,1956
Milt Palacio,1960
Rick Hughes,1965
Derek Hood,1967
John Morton,1972
Jamel Thomas,1975
Jermaine Jackson,1983
Rickie Winslow,1984
Zendon Hamilton,1985
Dedric Willoughby,2000
Kenyon Martin,2030
Stromile Swift,2031
Darius Miles,2032
Marcus Fizer,2033
Mike Miller,2034
DerMarr Johnson,2035
Chris Mihm,2036
Jamal Crawford,2037
Joel Przybilla,2038
Keyon Dooling,2039
Jerome Moiso,2040
Etan Thomas,2041
Courtney Alexander,2042
Mateen Cleaves,2043
Jason Collier,2044
Hedo Turkoglu,2045
Desmond Mason,2046
Quentin Richardson,2047
Jamaal Magloire,2048
Speedy Claxton,2049
Morris Peterson,2050
Donnell Harvey,2051
DeShawn Stevenson,2052
Dalibor Bagaric,2053
Jake Tsakalidis,2054
Mamadou N'diaye,2055
Primoz Brezec,2056
Erick Barkley,2057
Mark Madsen,2058
Eduardo Najera,2059
Marko Jaric,2060
Dan Langhi,2061
A.J. Guyton,2062
Jake Voskuhl,2063
Khalid El-Amin,2064
Mike Smith,2065
Soumaila Samake,2066
Eddie House,2067
Lavor Postell,2068
Hanno Mottola,2069
Olumide Oyedeji,2071
Michael Redd,2072
Brian Cardinal,2073
Jabari Smith,2074
Jason Hart,2078
Kaniel Dickens,2079
Igor Rakocevic,2080
Ernest Brown,2081
Dan McClintock,2082
Chris Porter,2084
Daniel Santiago,2091
Ruben Garces,2092
Slava Medvedenko,2098
Paul McPherson,2101
Ruben Wolkowyski,2106
Eddie Gill,2109
Terrance Roberson,2121
Garth Joseph,2123
Malik Allen,2124
David Vanterpool,2128
Mike Penberthy,2130
Ime Udoka,2137
Pepe Sanchez,2143
Sean Colson,2173
Kwame Brown,2198
Tyson Chandler,2199
Pau Gasol,2200
Eddy Curry,2201
Jason Richardson,2202
Shane Battier,2203
Eddie Griffin,2204
DeSagana Diop,2205
Rodney White,2206
Joe Johnson,2207
Kedrick Brown,2208
Vladimir Radmanovic,2209
Richard Jefferson,2210
Troy Murphy,2211
Steven Hunter,2212
Kirk Haston,2213
Michael Bradley,2214
Jason Collins,2215
Zach Randolph,2216
Brendan Haywood,2217
Joseph Forte,2218
Jeryl Sasser,2219
Brandon Armstrong,2220
Raul Lopez,2221
Gerald Wallace,2222
Samuel Dalembert,2223
Jamaal Tinsley,2224
Tony Parker,2225
Will Solomon,2226
Alton Ford,2228
Mike James,2229
Maurice Evans,2230
Ratko Varda,2237
Antonis Fotsis,2238
Trenton Hassell,2239
Gilbert Arenas,2240
Omar Cook,2241
Terence Morris,2242
Brian Scalabrine,2243
Jeff Trepagnier,2244
Damone Brown,2245
Mehmet Okur,2246
Earl Watson,2248
Jamison Brewer,2249
Bobby Simmons,2250
Sean Lampley,2253
Loren Woods,2254
Ken Johnson,2256
Ruben Boumtje-Boumtje,2257
Jarron Collins,2260
Kenny Satterfield,2261
Alvin Jones,2264
Charlie Bell,2294
Carlos Arroyo,2306
Paul Shirley,2321
Joe Crispin,2343
Tang Hamilton,2347
Victor Alexander,2349
Oscar Torres,2351
Dean Oliver,2352
Tierre Brown,2357
Chris Andersen,2365
Mike Wilks,2366
Geno Carlisle,2367
Norman Richardson,2369
Mengke Bateer,2370
Yao Ming,2397
Jay Williams,2398
Mike Dunleavy,2399
Drew Gooden,2400
Nikoloz Tskitishvili,2401
Dajuan Wagner,2402
Nene,2403
Chris Wilcox,2404
Amar'e Stoudemire,2405
Caron Butler,2406
Jared Jeffries,2407
Melvin Ely,2408
Marcus Haislip,2409
Fred Jones,2410
Bostjan Nachbar,2411
Jiri Welsch,2412
Juan Dixon,2413
Curtis Borchardt,2414
Ryan Humphrey,2415
Kareem Rush,2416
Qyntel Woods,2417
Casey Jacobsen,2418
Tayshaun Prince,2419
Nenad Krstic,2420
Frank Williams,2421
John Salmons,2422
Chris Jefferies,2423
Dan Dickau,2424
Robert Archibald,2425
Roger Mason Jr.,2427
Vincent Yarbrough,2428
Dan Gadzuric,2429
Carlos Boozer,2430
David Andersen,2431
Tito Maddox,2432
Juan Carlos Navarro,2434
Mario Kasun,2435
Flip Murray,2436
Lonny Baxter,2437
Matt Barnes,2440
Jamal Sampson,2441
Chris Owens,2442
Darius Songaila,2443
Rasual Butler,2446
Tamar Slay,2447
Luis Scola,2449
Randy Holcomb,2450
Corsley Edwards,2451
J.R. Bremer,2452
Predrag Savovic,2453
Junior Harrington,2454
Cezary Trybanski,2456
Jannero Pargo,2457
Guy Rucker,2462
Maurice Carter,2466
Pat Burke,2469
Smush Parker,2470
Mike Batiste,2471
Devin Brown,2484
Maurice Baker,2486
Adam Harrington,2492
Richie Frahm,2499
Reggie Evans,2501
Antoine Rigaudeau,2541
LeBron James,2544
Darko Milicic,2545
Carmelo Anthony,2546
Chris Bosh,2547
Dwyane Wade,2548
Chris Kaman,2549
Kirk Hinrich,2550
T.J. Ford,2551
Michael Sweetney,2552
Jarvis Hayes,2553
Mickael Pietrus,2554
Nick Collison,2555
Marcus Banks,2556
Luke Ridnour,2557
Reece Gaines,2558
Troy Bell,2559
Zarko Cabarkapa,2560
David West,2561
Sasha Pavlovic,2562
Dahntay Jones,2563
Boris Diaw,2564
Zoran Planinic,2565
Travis Outlaw,2566
Brian Cook,2567
Carlos Delfino,2568
Ndudi Ebi,2569
Kendrick Perkins,2570
Leandro Barbosa,2571
Josh Howard,2572
Maciej Lampe,2573
Jason Kapono,2574
Luke Walton,2575
Travis Hansen,2580
Steve Blake,2581
Slavko Vranes,2582
Derrick Zimmerman,2583
Willie Green,2584
Zaza Pachulia,2585
Keith Bogans,2586
Matt Bonner,2588
Mo Williams,2590
James Lang,2591
James Jones,2592
Kyle Korver,2594
Brandon Hunter,2599
Andreas Glyniadakis,2601
Jerome Beasley,2602
Theron Smith,2604
Marquis Daniels,2605
Udonis Haslem,2617
Quinton Ross,2624
Kirk Penney,2632
Alex Scales,2637
Britton Johnsen,2639
Ronald Dupree,2648
Shelton Jones,2652
Yuta Tabuse,2657
Desmond Penigar,2667
Josh Davis,2668
Linton Johnson,2669
Hiram Fuller,2673
Matt Carroll,2679
Alex Garcia,2682
Melvin Sanders,2684
Brandin Knight,2688
Keith McLeod,2693
Josh Powell,2694
Lynn Greer,2696
Desmond Ferguson,2724
Dwight Howard,2730
Emeka Okafor,2731
Ben Gordon,2732
Shaun Livingston,2733
Devin Harris,2734
Josh Childress,2735
Luol Deng,2736
Rafael Araujo,2737
Andre Iguodala,2738
Luke Jackson,2739
Andris Biedrins,2740
Robert Swift,2741
Sebastian Telfair,2742
Kris Humphries,2743
Al Jefferson,2744
Kirk Snyder,2745
Josh Smith,2746
JR Smith,2747
Dorell Wright,2748
Jameer Nelson,2749
Pavel Podkolzin,2750
Viktor Khryapa,2751
Sergei Monia,2752
Delonte West,2753
Tony Allen,2754
Kevin Martin,2755
Sasha Vujacic,2756
Beno Udrih,2757
David Harrison,2758
Anderson Varejao,2760
Jackson Vroman,2761
Peter John Ramos,2762
Lionel Chalmers,2763
Donta Smith,2764
Andre Emmett,2765
Antonio Burks,2766
Royal Ivey,2767
Chris Duhon,2768
Justin Reed,2770
Trevor Ariza,2772
Bernard Robinson,2774
Ha Ha,2775
Seung-Jin Ha,2775
Pape Sow,2776
Vassilis Spanoulis,2779
Matt Freije,2782
Luis Flores,2784
DJ Mbenga,2788
Horace Jenkins,2798
Tony Bobbitt,2800
Andres Nocioni,2804
Gerald Fitch,2809
Andre Brown,2810
John Edwards,2823
Desmon Farmer,2824
Ibrahim Kutluay,2825
James Thomas,2839
Erik Daniels,2845
Awvee Storey,2852
Earl Barron,2853
Andre Barrett,2857
Damien Wilkins,2863
Jackie Butler,2866
Kasib Powell,2867
Billy Thomas,2873
Jared Reiner,2876
Mark Jones,2891
Nicolo Melli,6006
Alaa Abdelnaby,76001
Zaid Abdul-Aziz,76002
Kareem Abdul-Jabbar,76003
Tom Abernethy,76005
Forest Able,76006
John Abramovic,76007
Donald Ackerman,76008
Mark Acres,76009
Charles Acton,76010
Alvan Adams,76011
Don Adams,76012
Rick Adelman,76015
Mark Aguirre,76016
Danny Ainge,76017
Henry Akin,76018
Mark Alarie,76019
Gary Alcorn,76020
Chuck Aleksinas,76021
Gary Alexander,76022
Steve Alford,76024
Randy Allen,76025
Lucius Allen,76027
Bob Allen,76028
Odis Allison,76029
Darrell Allums,76030
Bob Anderegg,76034
Cliff Anderson,76035
Daniel Anderson,76036
Dwight Anderson,76037
Jerome Anderson,76040
Kim Anderson,76041
Michael Anderson,76042
Mitchell Anderson,76043
Richard Anderson,76045
Ron Anderson,76046
Wally Anderzunas,76048
Don Anielak,76049
Michael Ansley,76050
Stacey Arceneaux,76053
Nate Archibald,76054
Jim Ard,76055
Paul Arizin,76056
Joe Arlauckas,76057
Tate Armstrong,76059
Paul Armstrong,76060
Bob Armstrong,76061
Jesse Arnelle,76062
Jay Arnette,76063
Bob Arnzen,76064
John Arthurs,76065
Don Asmonga,76068
Richard Atha,76069
Alvin Attles,76070
Chet Aubuchon,76071
John Austin,76073
Ken Austin,76074
William Averitt,76076
Dennis Awtrey,76078
Milos Babic,76079
Johnny Bach,76080
Jim Baechtold,76081
John Bagley,76082
Gus Bailey,76083
Carl Bailey,76084
James Bailey,76085
Norm Baker,76089
Cedric Ball,76090
Greg Ballard,76091
Herschel Baltimore,76092
Gene Banks,76093
Ken Bannister,76094
Mike Bantom,76095
John Barber,76096
Stephen Bardo,76097
Cliff Barker,76098
Tom Barker,76099
Don Barksdale,76102
Harry Barnes,76103
Marvin Barnes,76104
Jim Barnes,76105
Jim Barnett,76106
Dick Barnett,76107
John Barnhill,76108
Norton Barnhill,76109
Leo Barnhorst,76110
John Barr,76111
Mike Barr,76112
Thomas Barr,76113
Ernie Barrett,76114
Ed Bartels,76117
Vic Bartolome,76118
Jerry Baskerville,76119
Tim Bassett,76120
Billyray Bates,76121
Kenny Battle,76123
Dave Batton,76124
Johnny Baum,76125
Frankie Baumholtz,76126
Elgin Baylor,76127
Sergei Bazarevich,76128
Ed Beach,76129
Butch Beard,76130
Ralph Beard,76131
Zelmo Beaty,76133
Byron Beck,76134
Ernie Beck,76136
Moe Becker,76137
William Bedford,76138
Hank Beenders,76139
Ron Behagen,76140
Elmer Behnke,76141
Dennis Bell,76142
William Bell,76143
Walt Bellamy,76144
Irv Bemoras,76145
Leon Benbow,76146
Tony Bennett,76148
Mel Bennett,76151
Winston Bennett,76152
Kent Benson,76154
Gene Berce,76155
Gary Bergen,76156
Ricky Berry,76157
Walter Berry,76158
Del Beshore,76159
Al Bianchi,76160
Hank Biasatti,76161
Henry Bibby,76162
Ed Biedenbach,76163
Don Bielke,76164
Bob Bigelow,76165
Dave Bing,76166
Joe Binion,76167
Jerry Bird,76168
Otis Birdsong,76170
Gale Bishop,76171
Uwe Blab,76172
Charlie Black,76173
Norman Black,76174
Tom Black,76175
Rolando Blackman,76176
Cory Blackwell,76177
Nate Blackwell,76179
Alex Blackwell,76180
George Blaney,76182
Lance Blanks,76183
Ricky Blanton,76184
Leon Blevins,76186
John Block,76187
Mike Bloom,76188
Ray Blume,76189
Nelson Bobb,76190
Arlen Bockhorn,76191
Tom Boerwinkle,76192
Manute Bol,76195
Bill Bolger,76196
Doug Bolstorff,76197
